,Title,Task
10,Advanced Practice Psychiatric Nurses,"[""Monitor patients' medication usage and results."", ""Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes."", 'Diagnose psychiatric disorders and mental health conditions.', ""Evaluate patients' behavior to formulate diagnoses or assess treatments."", 'Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.', ""Assess patients' mental and physical status, based on the presenting symptoms and complaints."", 'Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.', 'Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.', 'Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.', 'Develop and implement treatment plans.', 'Participate in activities aimed at professional growth and development, including conferences or continuing education activities.', 'Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.', 'Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.', 'Consult with psychiatrists or other professionals when unusual or complex cases are encountered.', 'Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.', 'Develop practice protocols for mental health problems, based on review and evaluation of published research.', 'Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.', 'Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities.', 'Teach classes in mental health topics, such as stress reduction.', 'Administer medications, including those administered by injection.', 'Monitor the use and status of medical and pharmaceutical supplies.', 'Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.', 'Treat patients for routine physical health problems.', 'Direct or provide home health services.']"
11,Advertising Sales Agents,"['Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.', 'Maintain assigned account bases while developing new accounts.', 'Provide clients with estimates of the costs of advertising products or services.', 'Locate and contact potential clients to offer advertising services.', 'Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.', ""Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance."", 'Prepare promotional plans, sales literature, media kits, and sales contracts, using computer.', 'Process all correspondence and paperwork related to accounts.', 'Draw up contracts for advertising work, and collect payments due.', 'Deliver advertising or illustration proofs to customers for approval.', 'Inform customers of available options for advertisement artwork, and provide samples.', 'Recommend appropriate sizes and formats for advertising, depending on medium used.', 'Write copy as part of layout.', 'Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers.', 'Gather all relevant material for bid processes, and coordinate bidding and contract approval.', 'Consult with company officials, sales departments, and advertising agencies to develop promotional plans.', 'Identify new advertising markets, and propose products to serve them.', 'Arrange for commercial taping sessions, and accompany clients to sessions.', 'Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge.', 'Write sales outlines for use by staff.']"
12,Advertising and Promotions Managers,"['Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.', 'Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.', 'Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.', 'Coordinate with the media to disseminate advertising.', 'Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.', 'Plan and execute advertising policies and strategies for organizations.', 'Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.', 'Prepare budgets and submit estimates for program costs as part of campaign plan development.', 'Contact organizations to explain services and facilities offered.', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.', 'Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.', 'Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.', 'Manage sales team, including setting goals, providing incentives, and evaluating employee performance.', 'Prepare and negotiate advertising and sales contracts.', 'Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.', 'Train and direct workers engaged in developing and producing advertisements.', 'Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.', 'Represent company at trade association meetings to promote products.', 'Direct and coordinate product research and development.', 'Analyze marketing or sales trends to forecast future conditions.', 'Analyze the effectiveness of marketing tactics or channels.', 'Attend or participate in conferences, community events, and promotional events related to products or technologies.', 'Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.', 'Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.', 'Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.', 'Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.', 'Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.', 'Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.']"
13,Aerospace Engineering and Operations Technologists and Technicians,"['Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters.', 'Identify required data, data acquisition plans, and test parameters, setting up equipment to conform to these specifications.', 'Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions.', 'Confer with engineering personnel regarding details and implications of test procedures and results.', 'Operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis.', 'Record and interpret test data on parts, assemblies, and mechanisms.', 'Adjust, repair, or replace faulty components of test setups and equipment.', 'Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.', 'Finish vehicle instrumentation and deinstrumentation.', 'Construct and maintain test facilities for aircraft parts and systems, according to specifications.', 'Design electrical and mechanical systems for avionic instrumentation applications.', 'Exchange cooling system components in various vehicles.']"
14,Aerospace Engineers,"['Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.', 'Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.', 'Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.', ""Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles."", 'Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.', 'Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.', 'Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.', 'Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.', 'Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.', 'Maintain records of performance reports for future reference.', 'Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.', 'Direct aerospace research and development programs.', 'Research new materials to determine quality or conformance to environmental standards.', 'Evaluate and approve selection of vendors by studying past performance or new advertisements.', 'Review aerospace engineering designs to determine how to reduce negative environmental impacts.', 'Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.', 'Design or engineer filtration systems that reduce harmful emissions.', 'Evaluate biofuel performance specifications to determine feasibility for aerospace applications.']"
15,"Agents and Business Managers of Artists, Performers, and Athletes","['Collect fees, commissions, or other payments, according to contract terms.', ""Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals."", 'Keep informed of industry trends and deals.', 'Conduct auditions or interviews to evaluate potential clients.', ""Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations."", 'Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.', ""Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success."", 'Schedule promotional or performance engagements for clients.', 'Arrange meetings concerning issues involving their clients.', 'Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.', 'Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.', 'Prepare periodic accounting statements for clients.', 'Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.', 'Advise clients on financial and legal matters, such as investments and taxes.']"
16,Agricultural Engineers,"['Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.', 'Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.', 'Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs.', 'Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.', 'Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.', 'Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.', 'Test agricultural machinery and equipment to ensure adequate performance.', 'Design food processing plants and related mechanical systems.', 'Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.', 'Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.', 'Design and supervise environmental and land reclamation projects in agriculture and related industries.', 'Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.', 'Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.', 'Supervise food processing or manufacturing plant operations.']"
17,Agricultural Equipment Operators,"['Load and unload crops or containers of materials, manually or using conveyors, handtrucks, forklifts, or transfer augers.', 'Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.', 'Spray fertilizer or pesticide solutions to control insects, fungus and weed growth, and diseases, using hand sprayers.', 'Observe and listen to machinery operation to detect equipment malfunctions.', 'Manipulate controls to set, activate, and adjust mechanisms on machinery.', 'Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.', 'Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.', 'Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.', 'Load hoppers, containers, or conveyors to feed machines with products, using forklifts, transfer augers, suction gates, shovels, or pitchforks.', 'Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.', 'Operate towed machines such as seed drills or manure spreaders to plant, fertilize, dust, and spray crops.', 'Weigh crop-filled containers, and record weights and other identifying information.', 'Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.', 'Drive trucks to haul crops, supplies, tools, or farm workers.', 'Guide products on conveyors to regulate flow through machines, and to discard diseased or rotten products.', 'Position boxes or attach bags at discharge ends of machinery to catch products, removing and closing full containers.', 'Irrigate soil, using portable pipes or ditch systems, and maintain ditches or pipes and pumps.']"
18,Agricultural Inspectors,"['Inspect food products and processing procedures to determine whether products are safe to eat.', 'Interpret and enforce government acts and regulations and explain required standards to agricultural workers.', 'Set standards for the production of meat or poultry products or for food ingredients, additives, or compounds used to prepare or package products.', 'Inspect agricultural commodities or related operations, as well as fish or logging operations, for compliance with laws and regulations governing health, quality, and safety.', 'Label and seal graded products and issue official grading certificates.', 'Monitor the operations and sanitary conditions of slaughtering or meat processing plants.', 'Take emergency actions, such as closing production facilities, if product safety is compromised.', 'Verify that transportation and handling procedures meet regulatory requirements.', 'Inspect the cleanliness and practices of establishment employees.', 'Examine, weigh, and measure commodities, such as poultry, eggs, meat, or seafood to certify qualities, grades, and weights.', 'Inspect or test horticultural products or livestock to detect harmful diseases, chemical residues, or infestations and to determine the quality of products or animals.', 'Monitor the grading performed by company employees to verify conformance to standards.', 'Set labeling standards and approve labels for meat or poultry products.', 'Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.', 'Direct or monitor the quarantine and treatment or destruction of plants or plant products.', 'Collect samples from animals, plants, or products and route them to laboratories for microbiological assessment, ingredient verification, or other testing.', 'Review and monitor foreign product inspection systems in countries of origin to ensure equivalence to the U.S. system.', 'Inquire about pesticides or chemicals to which animals may have been exposed.', 'Provide consultative services in areas such as equipment or product evaluation, plant construction or layout, or food safety systems.', 'Testify in legal proceedings.', 'Compare product recipes with government-approved formulas or recipes to determine acceptability.', 'Advise farmers or growers of development programs or new equipment or techniques to aid in quality production.']"
19,"Agricultural Sciences Teachers, Postsecondary","['Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Advise students on academic and vocational curricula and on career issues.', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Supervise laboratory sessions and field work and coordinate laboratory operations.', 'Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.', 'Collaborate with colleagues to address teaching and research issues.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', ""Evaluate and grade students' class work, laboratory work, assignments, and papers."", 'Maintain regularly scheduled office hours to advise and assist students.', 'Initiate, facilitate, and moderate classroom discussions.', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Maintain student attendance records, grades, and other required records.', 'Participate in student recruitment, registration, and placement activities.', 'Select and obtain materials and supplies, such as textbooks and laboratory equipment.', 'Act as advisers to student organizations.', 'Write grant proposals to procure external research funding.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Participate in campus and community events.', 'Provide professional consulting services to government or industry.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Perform administrative duties, such as serving as department head.']"
